iter	RMSE
0	1.450250745
1	1.334045013
2	1.256009395
3	1.222017245
4	1.203303045
5	1.18429272
6	1.17472924
7	1.166753226
8	1.163054706
9	1.15638833
10	1.149526422
11	1.144205465
12	1.141422252
13	1.138200831
14	1.136713186
15	1.132211765
16	1.127147516
17	1.125190772
18	1.121902575
19	1.119156619
20	1.116551807
21	1.114471449
22	1.112124167
23	1.110588575
24	1.107960706
25	1.106088379
26	1.103298002
27	1.099817165
28	1.098372927
29	1.095950297
30	1.094189793
31	1.092412741
32	1.090095823
33	1.088115267
34	1.086134768
35	1.084851279
36	1.082507432
37	1.08075008
38	1.078687014
39	1.077507243
40	1.075015785
41	1.073106325
42	1.070606514
43	1.069210171
44	1.06772689
45	1.063635235
46	1.061558393
47	1.060067417
48	1.058988943
49	1.057777677
50	1.055517955
51	1.053344288
52	1.051300199
53	1.050302084
54	1.049014533
55	1.048218146
56	1.046144629
57	1.044700738
58	1.04369416
59	1.042264321
60	1.040693872
61	1.039684227
62	1.038616663
63	1.037553412
64	1.036308015
65	1.0352144
66	1.034073522
67	1.033190251
68	1.032131185
69	1.030808151
70	1.029226722
71	1.027976211
72	1.026881252
73	1.026057745
74	1.025037938
75	1.024267241
76	1.023151606
77	1.02174381
78	1.020433346
79	1.019349222
80	1.018238797
81	1.017713748
82	1.016630656
83	1.015927875
84	1.015147703
85	1.01430634
86	1.01361323
87	1.012652515
88	1.011249354
89	1.010540449
90	1.009137313
91	1.008653736
92	1.00768267
93	1.007046392
94	1.006402815
95	1.005425082
96	1.003882613
97	1.002788117
98	1.001840499
99	1.000869063
