iter	Passed	Remaining
0	18	1877
1	24	1183
2	29	952
3	35	861
4	40	778
5	45	717
6	52	697
7	57	658
8	62	629
9	66	600
10	71	575
11	76	559
12	82	552
13	87	536
14	92	524
15	99	521
16	104	511
17	109	500
18	116	496
19	121	487
20	126	476
21	133	472
22	138	463
23	143	454
24	150	451
25	154	441
26	160	432
27	167	430
28	172	422
29	178	417
30	184	411
31	191	407
32	199	405
33	206	400
34	216	401
35	222	396
36	231	393
37	238	389
38	247	387
39	254	381
40	261	376
41	268	370
42	276	366
43	283	360
44	292	357
45	298	350
46	308	347
47	316	342
48	327	341
49	335	335
50	344	331
51	353	325
52	362	321
53	372	317
54	381	311
55	390	306
56	398	300
57	408	296
58	416	289
59	426	284
60	434	277
61	450	276
62	480	282
63	496	279
64	509	274
65	517	266
66	530	261
67	561	264
68	593	266
69	621	266
70	654	267
71	677	263
72	700	259
73	716	251
74	732	244
75	744	235
76	758	226
77	770	217
78	777	206
79	787	196
80	794	186
81	805	176
82	814	166
83	822	156
84	832	146
85	843	137
86	854	127
87	862	117
88	872	107
89	883	98
90	892	88
91	905	78
92	915	68
93	924	59
94	934	49
95	942	39
96	952	29
97	966	19
98	983	9
99	1028	0
