feature,importance_mean,importance_std
codigoMaterial_encoded,0.4139858090304517,0.004144720595584265
Operario_encoded,0.09175051162422872,0.005616994930069898
es_fin_semana,0.06135626508844947,0.0038810645425289485
CantidadBuena,0.05679418702579395,0.0037082059977399445
NombreMaquina_encoded,0.02428046185645788,0.0023823864073530985
año,0.021975098231040036,0.0011237068928164004
turno_noche,0.01745980489698491,0.0031095241848468455
mes,0.01423154527276812,0.0010224708822115381
dia_semana,0.012336450235584707,0.001410493444006972
hora,0.010323135201508238,0.0010040372917559848
Puntadas,0.008205763805120957,0.0004758188058596202
turno_tarde,0.007621519986586412,0.0013894378613794815
Plantilla_1,0.0037698245685546692,0.0005693881749156905
