Modelo,RMSE_train,RMSE_test,MAE_train,MAE_test,R²_train,R²_test,MAPE_%,Overfitting
Extra Trees,6.368653684373638,698.9317414922485,0.10400341756020563,352.60635537819087,0.9999525235080817,0.4254934465373579,2030.024685999816,0.5744590769707238
Random Forest,244.976715860351,723.9989784457316,124.1420800475962,371.9389433597892,0.9297521606901407,0.38354501947528097,2291.277627293462,0.5462071412148597
CatBoost,575.0264050797078,725.3393848484106,313.07399017179364,380.5010639776894,0.6129572560631724,0.38126030601420924,2303.5576541482087,0.23169695004896318
XGBoost,578.0768522414663,725.6932449590122,308.78144841222684,376.65344273646014,0.6088399319097477,0.3806564488175971,2444.0414924826237,0.22818348309215064
LightGBM,595.3781395800576,730.1486732240642,319.79133238919763,382.07169816184813,0.5850754576997192,0.3730281247509565,2243.9334585269253,0.21204733294876277
Gradient Boosting,670.4914718487354,766.9009440233698,363.66479473440836,410.44069589680805,0.4737769458154517,0.30832193435509125,2810.52813605202,0.16545501146036046
Lasso Regression,738.970360473057,814.9459985710331,439.4806825816973,481.28966322418177,0.3607990771571804,0.2189422927003979,4552.5052761886645,0.14185678445678251
Linear Regression,738.9701032594978,814.9488745194739,439.5343803633932,481.34728811230246,0.36079952213068545,0.21893677997768257,4552.547182317717,0.14186274215300287
Ridge Regression,738.9701037415545,814.948931687947,439.5318562137011,481.344930247193,0.36079952129673887,0.21893667039487363,4552.540334968439,0.14186285090186523
Elastic Net,739.7356761899401,815.688823036928,437.03105665737684,478.90998361544786,0.3594744128563998,0.21751777329240618,4542.16892951334,0.14195663956399363
Decision Tree,6.368445297435264,988.3957752163067,0.10348071279249918,453.39531835836647,0.999952526614961,-0.1489132014762553,2314.166838725696,1.1488657280912165
