Modelo,R²_test_orig,RMSE_test_orig,MAE_test_orig,R²_test_log
Extra Trees,0.34392755640626615,746.9012202778156,315.8372080950267,0.5992387114054589
Random Forest,0.29996597121258417,771.5193918800073,327.73787634322576,0.5804685818035725
CatBoost,0.28020803490868285,782.3314110135285,340.89694694241393,0.5805979337954533
XGBoost,0.2744456441825165,785.4566978144375,340.27862908430365,0.5843169984392445
LightGBM,0.24604240661382704,800.6832260010748,347.28006065030655,0.5791995123573823
Gradient Boosting,0.20853837304534306,820.3557043036107,363.1883235057545,0.531216962747367
Decision Tree,-0.10996881344436749,971.4996732990602,444.2957048389149,0.22291740334138233
Linear Regression,-1.4297986597725285,1437.382703813519,498.95770267701283,0.23769768358812382
Ridge Regression,-1.4298109015359608,1437.3863247054778,498.9579665186595,0.23769770984690552
Elastic Net,-1.5511757562806903,1472.8464087277443,502.43247728429435,0.23165456347796964
Lasso Regression,-1.5859191434313118,1482.8415311388596,502.59820506539916,0.23079172764220235
