Modelo,R2_orig_untransformed,MAE_orig_untransformed,RMSE_orig_untransformed,R2_orig_logpred,RMSE_orig_logpred,MAE_orig_logpred,R²_test_log
CatBoost,0.38126030601420924,380.5010639776894,725.3393848484106,0.28020803490868285,782.3314110135285,340.89694694241393,0.5805979337954533
Decision Tree,-0.1489132014762553,453.39531835836647,988.3957752163067,-0.10996881344436749,971.4996732990602,444.2957048389149,0.22291740334138233
Elastic Net,0.21751777329240618,478.90998361544786,815.688823036928,-1.5511757562806903,1472.8464087277443,502.43247728429435,0.23165456347796964
Extra Trees,0.4254934465373579,352.60635537819087,698.9317414922485,0.34392755640626615,746.9012202778156,315.8372080950267,0.5992387114054589
Gradient Boosting,0.30832193435509125,410.44069589680805,766.9009440233698,0.20853837304534306,820.3557043036107,363.1883235057545,0.531216962747367
Lasso Regression,0.2189422927003979,481.28966322418177,814.9459985710331,-1.5859191434313118,1482.8415311388596,502.59820506539916,0.23079172764220235
LightGBM,0.3730281247509565,382.07169816184813,730.1486732240642,0.24604240661382704,800.6832260010748,347.28006065030655,0.5791995123573823
Linear Regression,0.21893677997768257,481.34728811230246,814.9488745194739,-1.4297986597725285,1437.382703813519,498.95770267701283,0.23769768358812382
Random Forest,0.38354501947528097,371.9389433597892,723.9989784457316,0.29996597121258417,771.5193918800073,327.73787634322576,0.5804685818035725
Ridge Regression,0.21893667039487363,481.344930247193,814.948931687947,-1.4298109015359608,1437.3863247054778,498.9579665186595,0.23769770984690552
XGBoost,0.3806564488175971,376.65344273646014,725.6932449590122,0.2744456441825165,785.4566978144375,340.27862908430365,0.5843169984392445
