Modelo,R2_train_log,R2_test_log,Overfitting_log
Extra Trees,0.9996642904064809,0.5992387114054589,0.40042557900102194
XGBoost,0.6946944521563029,0.5843169984392445,0.11037745371705843
CatBoost,0.6913742587816228,0.5805979337954533,0.11077632498616952
Random Forest,0.9508837212072055,0.5804685818035726,0.3704151394036329
LightGBM,0.6781731469358457,0.5791995123573823,0.09897363457846342
Gradient Boosting,0.6011524527641763,0.531216962747367,0.06993549001680932
Ridge Regression,0.2886316891839691,0.23769770984690552,0.05093397933706356
Linear Regression,0.2886316895303691,0.23769768358812382,0.050934005942245286
Elastic Net,0.2821727408453897,0.23165456347796964,0.050518177367420036
Lasso Regression,0.28066653551690657,0.23079172764220235,0.04987480787470422
Decision Tree,0.9996642904064809,0.22291740334138233,0.7767468870650985
